,MaterialTecho,Habitantes/Vivienda,Mal_Olor,Mal_Color,Sedimentos,Mal_Sabor,MaterialPiso,Cepillado,Edad,Sanitarios,Ducha,LavadoAntesComer,Purificacion,LavadoPostSanitario,AnimalDomestico,Etnia,Alcantarillado,Prevalencia
0,4,5.0,0.0,0.0,0.7894736842105263,0.0,6,2.210526315789474,30.736842105263158,0.9473684210526315,1.7894736842105263,1.9473684210526316,2,2.0,1.8421052631578947,2,1.0,1.0
1,4,3.6666666666666665,0.3333333333333333,0.0,0.0,0.3333333333333333,6,3.0,31.333333333333332,0.6666666666666666,2.0,2.0,2,2.0,2.0,3,1.0,1.0
2,0,5.8125,0.0,0.0625,0.0,0.0,2,2.625,37.9375,1.0625,2.0,2.0,2,2.0,1.8125,3,1.0,2.0
3,3,4.555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,2,2.0,42.0,1.0,2.0,2.0,2,2.0,2.0,2,1.0,2.0
4,0,4.622222222222222,0.022222222222222223,0.13333333333333333,0.2222222222222222,0.022222222222222223,2,2.8222222222222224,33.266666666666666,0.9777777777777777,2.0,1.9555555555555555,2,1.9777777777777779,1.7777777777777777,3,1.0444444444444445,1.0
5,0,4.5,0.0,0.5,0.0,0.0,1,3.0,42.0,1.0,2.0,2.0,2,2.0,2.0,2,1.0,2.0
6,0,4.381578947368421,0.02631578947368421,0.2894736842105263,0.05263157894736842,0.02631578947368421,2,2.6842105263157894,40.75,1.013157894736842,1.855263157894737,1.9736842105263157,2,1.9473684210526316,1.6842105263157894,3,1.013157894736842,1.0
7,0,4.722222222222222,0.05555555555555555,0.6666666666666666,0.0,0.0,2,2.4444444444444446,39.27777777777778,1.0,1.9444444444444444,2.0,2,2.0,1.7777777777777777,3,1.0,1.0
8,0,4.3478260869565215,0.17391304347826086,0.2608695652173913,0.2608695652173913,0.043478260869565216,2,2.8260869565217392,36.21739130434783,1.0,2.0,2.0,2,1.9565217391304348,1.9565217391304348,3,1.0434782608695652,1.0
9,4,4.5,0.0,1.0,0.0,0.0,2,2.0,37.75,1.0,2.0,2.0,2,2.0,2.0,3,1.0,0.0
10,4,4.75,0.0,0.0,0.875,0.0,2,3.0,35.375,1.0,2.0,1.875,2,1.875,1.75,2,1.875,0.0
11,4,4.5,0.0,0.0,0.75,0.0,2,2.75,30.25,1.0,2.0,2.0,2,2.0,1.5,2,2.0,1.0
12,4,5.25,0.0,0.125,0.0,0.0,6,2.0,30.625,1.0,1.125,2.0,4,2.0,2.0,3,1.0,2.0
13,0,4.285714285714286,0.0,0.2857142857142857,0.14285714285714285,0.0,1,2.4285714285714284,32.0,1.0,1.8571428571428572,2.0,5,2.0,1.7142857142857142,3,1.0,1.0
14,0,5.333333333333333,0.1111111111111111,0.8888888888888888,0.2222222222222222,0.0,2,3.0,32.22222222222222,1.0,1.7777777777777777,2.0,2,2.0,1.8888888888888888,3,1.0,2.0
15,0,4.090909090909091,0.0,0.45454545454545453,0.0,0.0,2,2.4545454545454546,35.90909090909091,1.0,2.0,1.8181818181818181,2,2.0,1.4545454545454546,3,2.0,1.0
16,0,4.75,0.0,0.0,0.375,0.0,2,2.625,34.625,1.0,2.0,2.0,4,2.0,1.625,2,2.0,0.0
17,0,4.578947368421052,0.0,0.10526315789473684,0.0,0.0,1,3.0,44.89473684210526,1.0,2.0,1.9473684210526316,2,1.9473684210526316,1.263157894736842,3,2.0,1.0
18,0,4.5,0.0,0.75,0.0,0.0,2,2.5,41.625,1.0,2.0,1.375,2,2.0,1.625,3,2.0,2.0
19,0,3.7,0.0,0.0,0.0,0.0,2,2.2,30.6,1.0,2.0,1.7,2,2.0,1.8,3,2.0,2.0
20,0,4.534883720930233,0.0,0.2558139534883721,0.4186046511627907,0.0,2,2.5813953488372094,37.76744186046512,1.0232558139534884,2.0,1.9069767441860466,2,2.0,1.558139534883721,3,2.0,1.0
21,0,5.5,0.0,0.0,0.0,0.0,2,3.0,38.0,1.0,1.5,2.0,2,2.0,2.0,3,2.0,2.0
22,0,4.333333333333333,0.0,0.6666666666666666,0.0,0.0,0,2.0,36.0,1.0,2.0,2.0,2,2.0,2.0,2,2.0,1.0
23,3,4.0,0.0,0.0,0.0,0.0,6,3.0,44.0,1.0,2.0,2.0,2,2.0,2.0,3,2.0,2.0
24,3,3.0,0.0,0.0,0.0,0.0,2,2.0,49.0,1.0,2.0,2.0,2,2.0,2.0,3,2.0,2.0
25,0,4.6,0.0,0.1,0.0,0.1,2,2.9,35.4,1.0,2.0,1.7,2,1.9,1.6,2,1.8,1.0
26,0,4.526315789473684,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.0,2,2.9473684210526314,37.473684210526315,1.0526315789473684,2.0,2.0,2,1.9473684210526316,1.5263157894736843,3,1.9473684210526316,1.0
27,0,4.2727272727272725,0.0,0.36363636363636365,0.0,0.0,2,2.3636363636363638,45.0,1.0,2.0,1.9090909090909092,2,2.0,1.8181818181818181,3,1.9090909090909092,2.0
28,0,5.65,0.0,0.0,0.1,0.0,1,2.9,37.5,1.05,2.0,2.0,2,2.0,1.7,3,2.0,2.0
29,0,3.5,0.0,0.0,0.0,0.0,2,2.0,36.0,1.0,2.0,2.0,2,2.0,2.0,3,2.0,1.0
30,0,4.25,0.0,0.4166666666666667,0.0,0.08333333333333333,2,2.4166666666666665,41.916666666666664,1.1666666666666667,2.0,1.75,2,2.0,1.4166666666666667,3,2.0,2.0
31,0,4.0,0.0,1.0,0.0,0.0,2,2.25,44.0,1.0,2.0,2.0,2,2.0,1.75,2,2.0,2.0
32,3,4.2,0.0,0.0,0.0,0.0,2,2.2,32.4,1.0,2.0,2.0,2,2.0,2.0,3,1.8,2.0
33,0,3.5,0.0,0.6,0.0,0.0,2,2.0,33.0,1.0,2.0,1.7,2,2.0,1.6,3,1.8,2.0
34,0,3.8333333333333335,0.0,0.0,0.0,0.0,2,2.3333333333333335,37.333333333333336,1.0,2.0,2.0,2,2.0,1.8333333333333333,3,1.8333333333333333,0.0
35,0,5.4,0.0,0.4,0.08,0.12,2,3.24,39.88,1.0,2.0,2.0,2,1.96,1.72,3,1.0,1.0
36,0,3.0,0.0,0.0,0.0,0.0,2,2.0,44.666666666666664,1.0,2.0,2.0,2,2.0,2.0,2,1.0,2.0
37,0,4.428571428571429,0.0,0.14285714285714285,0.7142857142857143,0.0,1,2.7142857142857144,32.714285714285715,1.0714285714285714,2.0,1.9285714285714286,2,1.9285714285714286,1.8571428571428572,3,1.7142857142857142,2.0
38,4,3.5,0.0,0.0,0.0,0.25,2,3.0,30.75,1.0,2.0,2.0,2,2.0,1.25,3,1.0,1.0
39,0,4.318181818181818,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,2,2.6818181818181817,37.40909090909091,1.0,1.9090909090909092,2.0,2,1.9545454545454546,1.7272727272727273,3,1.0,1.0
40,3,5.666666666666667,0.0,0.3333333333333333,1.0,0.0,2,2.3333333333333335,37.0,1.0,2.0,2.0,2,2.0,2.0,3,1.0,1.0
41,0,5.2,0.0,0.0,0.0,0.0,2,2.2,41.6,1.0,1.6,2.0,2,2.0,2.0,0,1.0,1.0
42,0,5.0,0.057692307692307696,0.1346153846153846,0.3269230769230769,0.09615384615384616,2,2.730769230769231,39.01923076923077,1.0,1.5,1.9807692307692308,2,2.0,1.8653846153846154,3,1.0576923076923077,1.0
43,4,4.666666666666667,0.037037037037037035,0.14814814814814814,0.25925925925925924,0.0,2,2.5925925925925926,38.333333333333336,0.9629629629629629,1.962962962962963,2.0,2,2.0,1.8518518518518519,3,1.2962962962962963,2.0
44,0,4.533333333333333,0.25,0.4666666666666667,0.5166666666666667,0.35,2,2.816666666666667,34.68333333333333,1.0,1.7833333333333334,1.9833333333333334,2,1.9833333333333334,1.7333333333333334,3,1.3666666666666667,1.0
45,3,4.230769230769231,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,2,3.230769230769231,38.15384615384615,1.0,2.0,2.0,2,1.9230769230769231,1.5384615384615385,3,1.9230769230769231,2.0
46,0,5.193548387096774,0.16129032258064516,0.3225806451612903,0.16129032258064516,0.03225806451612903,2,2.806451612903226,36.29032258064516,1.032258064516129,1.7096774193548387,1.967741935483871,2,2.0,1.8064516129032258,3,1.3225806451612903,1.0
47,0,6.5,0.09375,0.15625,0.15625,0.1875,2,2.5625,35.65625,1.0,1.8125,2.0,2,2.0,1.90625,3,1.0625,1.0
48,0,4.391304347826087,0.043478260869565216,0.6739130434782609,0.021739130434782608,0.0,2,2.9347826086956523,37.5,1.0434782608695652,1.9565217391304348,2.0,2,2.0,1.8043478260869565,3,1.391304347826087,1.0
49,0,3.6666666666666665,0.0,0.0,0.0,0.0,6,2.3333333333333335,39.0,0.6666666666666666,1.3333333333333333,2.0,2,1.6666666666666667,2.0,3,1.0,0.0
50,0,3.8333333333333335,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.0,2,2.5,36.5,1.0,1.9166666666666667,2.0,2,2.0,1.6666666666666667,3,1.4166666666666667,0.0
51,0,5.055555555555555,0.0,0.3888888888888889,0.1111111111111111,0.05555555555555555,1,2.6666666666666665,37.27777777777778,1.0,1.7777777777777777,1.9444444444444444,2,2.0,1.8888888888888888,3,1.0,1.0
52,0,5.611111111111111,0.3888888888888889,0.2777777777777778,0.0,0.5,2,2.5,45.888888888888886,1.0555555555555556,1.8888888888888888,2.0,2,2.0,2.0,3,1.0,1.0
53,0,4.743589743589744,0.0,0.05128205128205128,0.1282051282051282,0.02564102564102564,2,2.4615384615384617,38.794871794871796,0.9743589743589743,1.7692307692307692,1.9230769230769231,2,1.9487179487179487,1.9743589743589745,3,1.0,2.0
54,0,4.421052631578948,0.017543859649122806,0.07017543859649122,0.03508771929824561,0.0,2,2.8947368421052633,35.96491228070175,0.9824561403508771,1.9649122807017543,1.9649122807017543,2,1.9649122807017543,1.543859649122807,3,1.7719298245614035,1.0
55,4,3.857142857142857,0.0,0.14285714285714285,0.0,0.0,6,2.4285714285714284,36.42857142857143,0.8571428571428571,1.8571428571428572,2.0,2,2.0,1.5714285714285714,3,1.0,1.0
56,0,3.75,0.08333333333333333,0.3333333333333333,0.0,0.16666666666666666,2,2.5833333333333335,46.583333333333336,0.9166666666666666,1.9166666666666667,2.0,2,2.0,1.5833333333333333,3,2.0,1.0
57,0,4.571428571428571,0.0,0.2857142857142857,0.5714285714285714,0.0,1,2.7142857142857144,34.714285714285715,1.0,2.0,2.0,2,2.0,2.0,3,1.0,2.0
58,0,4.521739130434782,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,2,2.869565217391304,39.391304347826086,1.0434782608695652,1.8695652173913044,2.0,2,2.0,1.5217391304347827,3,1.9130434782608696,1.0
59,0,4.67741935483871,0.0,0.3225806451612903,0.16129032258064516,0.0,2,2.6774193548387095,36.064516129032256,1.0,1.967741935483871,1.935483870967742,2,1.935483870967742,2.0,3,1.1935483870967742,1.0
60,3,4.0,0.0,0.0,0.0,0.0,2,3.0,41.5,1.0,2.0,2.0,2,2.0,1.5,3,2.0,1.0
61,0,4.361111111111111,0.027777777777777776,0.19444444444444445,0.5,0.027777777777777776,1,2.9722222222222223,35.22222222222222,1.1111111111111112,2.0,2.0,2,1.9722222222222223,1.6666666666666667,3,1.8888888888888888,0.0
62,4,4.7,0.0,0.05,0.0,0.0,2,2.3,43.3,1.0,1.95,2.0,4,2.0,1.95,0,1.0,0.0
63,0,6.333333333333333,0.0,0.0,0.3333333333333333,0.0,2,2.0,40.666666666666664,0.6666666666666666,1.6666666666666667,1.6666666666666667,2,2.0,1.6666666666666667,3,1.0,1.0
64,4,4.857142857142857,0.0,0.21428571428571427,0.07142857142857142,0.14285714285714285,2,2.2857142857142856,34.42857142857143,0.8571428571428571,1.7857142857142858,1.8571428571428572,2,2.0,1.9285714285714286,3,1.0,1.0
65,4,4.2,0.0,0.0,0.0,0.2,2,2.0,31.8,0.8,1.8,2.0,4,1.8,1.4,0,1.0,2.0
66,0,4.5,0.16666666666666666,0.16666666666666666,0.0,0.0,2,2.8333333333333335,38.5,1.0,1.3333333333333333,2.0,2,2.0,2.0,3,1.0,2.0
67,0,5.148148148148148,0.012345679012345678,0.1728395061728395,0.07407407407407407,0.024691358024691357,2,2.740740740740741,39.7037037037037,1.0123456790123457,1.962962962962963,1.9259259259259258,2,1.9876543209876543,1.7777777777777777,3,1.0246913580246915,2.0
68,0,4.7,0.0,0.2,0.1,0.0,2,2.1,30.6,1.0,2.0,2.0,4,2.0,1.5,2,2.0,1.0
69,0,5.0,0.0,0.0,0.16666666666666666,0.0,2,2.5555555555555554,35.666666666666664,1.0,1.9444444444444444,1.9444444444444444,2,2.0,1.5,2,1.8333333333333333,1.0
70,0,4.25,0.125,0.375,0.5625,0.0625,2,2.75,38.4375,1.0,2.0,2.0,2,2.0,2.0,3,1.0,2.0
71,0,5.0,0.0,0.0,0.0,0.0,2,2.25,38.5,1.0,2.0,2.0,2,2.0,2.0,2,1.0,2.0
72,0,4.777777777777778,0.0,0.25,0.1111111111111111,0.0,2,2.8333333333333335,37.22222222222222,1.0,1.9166666666666667,2.0,2,2.0,1.8055555555555556,3,1.0277777777777777,1.0
73,3,3.875,0.025,0.425,0.075,0.0,2,2.675,41.175,1.0,1.975,2.0,2,2.0,1.75,0,1.225,1.0
74,0,4.125,0.0,0.375,0.0,0.0,2,3.375,38.5,1.0,1.75,2.0,2,2.0,2.0,3,1.0,2.0
75,4,4.6,0.0,0.0,0.0,0.0,6,2.2,29.8,0.8,1.6,2.0,2,1.8,2.0,3,1.0,2.0
76,0,6.333333333333333,0.0,0.1111111111111111,0.0,0.0,2,3.0,38.55555555555556,1.0,2.0,2.0,2,2.0,2.0,3,1.0,1.0
77,0,4.75,0.25,0.25,0.0,0.1875,2,2.5,40.125,0.9375,1.75,1.875,2,1.9375,1.75,3,1.1875,2.0
78,0,4.888888888888889,0.0,1.0,0.0,0.0,2,2.6666666666666665,35.44444444444444,1.0,1.6666666666666667,2.0,2,2.0,1.7777777777777777,3,1.0,0.0
79,4,4.594594594594595,0.0,0.21621621621621623,0.05405405405405406,0.02702702702702703,2,2.7567567567567566,32.351351351351354,0.972972972972973,1.837837837837838,1.972972972972973,2,1.972972972972973,1.7297297297297298,3,1.0810810810810811,1.0
80,0,4.5,0.0,0.0,0.0,0.0,2,2.75,41.25,1.0,2.0,2.0,2,2.0,1.75,3,1.0,0.0
81,4,5.794117647058823,0.0,0.0,0.7142857142857143,0.0,6,2.0285714285714285,34.142857142857146,0.8,1.8571428571428572,1.9428571428571428,2,1.9428571428571428,1.6285714285714286,2,1.6,1.0
82,4,5.125,0.0,0.0,0.625,0.0,6,2.25,35.25,0.375,1.75,1.5,4,1.625,1.625,2,1.0,2.0
83,4,8.0,0.0,0.0,1.0,0.0,6,3.0,27.0,1.0,2.0,2.0,2,2.0,2.0,2,1.0,2.0
84,4,6.25,0.0,0.0,0.5,0.0,2,2.0,34.25,0.75,1.75,2.0,2,2.0,2.0,2,1.0,2.0
85,0,8.0,0.0,0.0,0.5,0.5,3,3.0,27.0,1.0,2.0,2.0,2,2.0,2.0,3,1.0,2.0
86,3,4.5,0.0,0.18181818181818182,0.0,0.0,6,2.090909090909091,40.31818181818182,0.9545454545454546,1.9545454545454546,1.8181818181818181,2,2.0,1.9090909090909092,3,1.0,1.0
87,0,5.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,2,2.3636363636363638,40.36363636363637,1.0,1.9090909090909092,2.0,2,2.0,1.5454545454545454,3,1.0,1.0
88,4,4.285714285714286,0.05714285714285714,0.2,0.11428571428571428,0.08571428571428572,2,2.7142857142857144,37.0,0.9428571428571428,1.8285714285714285,1.8285714285714285,2,1.9714285714285715,1.8285714285714285,3,1.0857142857142856,1.0
89,4,6.0,0.0,0.16666666666666666,0.0,0.0,2,3.0,29.5,1.0,2.0,2.0,2,2.0,1.8333333333333333,3,1.0,2.0
90,0,5.0,0.0,0.25,0.0,0.0,2,2.5,33.0,1.0,2.0,2.0,2,2.0,1.75,3,1.0,0.0
91,0,4.363636363636363,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,2,3.0,33.18181818181818,1.0909090909090908,2.0,2.0,2,2.0,1.4545454545454546,3,1.0,1.0
92,0,4.285714285714286,0.0,0.2857142857142857,0.0,0.0,6,2.5714285714285716,31.285714285714285,0.8571428571428571,1.8571428571428572,2.0,2,2.0,2.0,3,1.0,2.0
93,3,5.6,0.1,0.5,0.0,0.0,2,2.9,37.7,1.0,2.0,1.8,2,2.0,1.9,3,1.0,2.0
94,0,4.25,0.125,0.25,0.125,0.5,2,2.75,34.375,1.0,1.5,2.0,2,2.0,1.875,3,1.125,1.0
95,0,6.615384615384615,0.0,0.0,0.0,0.0,2,2.6923076923076925,35.61538461538461,1.0,1.9230769230769231,2.0,2,2.0,2.0,3,1.0,2.0
96,4,3.977272727272727,0.0,0.022727272727272728,0.13636363636363635,0.022727272727272728,2,2.4545454545454546,38.52272727272727,1.0,1.9545454545454546,1.8181818181818181,2,1.9772727272727273,1.7272727272727273,0,1.0227272727272727,1.0
97,0,4.25,0.0,0.0,0.0,0.0,2,6.0,34.25,1.0,1.75,2.0,2,2.0,1.0,2,2.0,1.0
98,0,4.409090909090909,0.0,0.0,0.8636363636363636,0.0,2,2.6818181818181817,39.72727272727273,1.0909090909090908,2.0,2.0,2,2.0,1.8636363636363635,2,1.9545454545454546,1.0
99,0,4.636363636363637,0.0,0.0,0.0,0.09090909090909091,2,2.4545454545454546,39.54545454545455,0.9090909090909091,1.9090909090909092,2.0,2,2.0,2.0,2,1.0,2.0
100,3,5.2,0.0,0.0,0.0,0.0,6,2.6,33.8,0.8,1.8,2.0,2,2.0,1.6,3,1.0,2.0
101,4,5.346666666666667,0.039473684210526314,0.11842105263157894,0.09210526315789473,0.02631578947368421,2,2.473684210526316,36.26315789473684,1.0263157894736843,1.9078947368421053,1.9078947368421053,2,1.9342105263157894,1.763157894736842,3,1.2763157894736843,1.0
102,3,5.0,0.0,0.0,0.0,0.0,6,2.5555555555555554,36.111111111111114,0.7777777777777778,1.8888888888888888,2.0,2,2.0,1.8888888888888888,3,1.0,1.0
103,0,6.444444444444445,0.0,0.2222222222222222,0.0,0.0,2,3.0,45.111111111111114,1.0,2.0,2.0,2,2.0,2.0,3,1.0,1.0
104,0,4.9,0.0,0.1,0.0,0.0,6,2.7,38.1,0.5,1.6,2.0,2,2.0,1.6,3,1.1,1.0
105,0,6.0,0.3,0.3,0.2,0.1,2,2.5,37.9,1.0,1.8,2.0,2,1.9,1.8,3,1.1,1.0
106,0,5.303030303030303,0.0,0.18181818181818182,0.0,0.030303030303030304,2,2.787878787878788,38.15151515151515,0.9090909090909091,1.878787878787879,2.0,2,1.9696969696969697,1.8484848484848484,3,1.0,1.0
107,0,5.3076923076923075,0.41025641025641024,0.41025641025641024,0.44871794871794873,0.5512820512820513,2,2.7948717948717947,34.01282051282051,1.0128205128205128,1.6666666666666667,1.9871794871794872,2,1.9871794871794872,1.858974358974359,3,1.1538461538461537,1.0
108,0,4.947368421052632,0.0,0.0,0.05263157894736842,0.0,2,2.8421052631578947,33.26315789473684,1.0,1.9473684210526316,2.0,2,2.0,1.736842105263158,3,1.0,1.0
